1810,3500,5352,7000,10100,14000,18068,21000,24890,28000,50000
1840,3600,5353,7040,10100,14100,18111,21150,24931,28300,50100
1840,3570,5352,7040,10130,14070,18089,21070,24910,28070,50300

1840,3570,5366,7040,10130,14070,18109,21070,24920,28070,50150
2000,3800,5366,7200,10150,14350,18168,21450,24990,28600,50500
1860,3600,5366,7080,10150,14100,18109,21150,24932,28110,50350

-6,-6,-6,-6,-6,-6,-6,-6,-6,-6,-6
-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9

23;23;23;23;23;23;23;23;23;23;23
